	Ascoli	Atalanta	Bari	Cagliari	Cremonese	Fiorentina	Foggia	Genoa	Inter	Juventus	Lazio	Milan	Napoli	Parma	Roma	Sampdoria	Torino	Verona
Ascoli	 	1-0	2-2	1-3	1-0	0-0	2-1	0-2	1-2	0-2	1-4	0-1	1-4	2-3	1-1	0-1	0-4	1-1
Atalanta	1-1	 	2-1	0-1	1-1	1-0	4-4	1-0	1-0	0-0	1-0	0-2	1-1	0-1	0-1	0-0	1-3	0-0
Bari	2-1	0-0	 	1-0	0-0	1-0	1-3	1-2	0-2	0-0	1-2	0-1	1-3	1-1	2-1	1-1	1-1	2-1
Cagliari	2-0	0-0	0-0	 	0-0	4-0	2-2	1-1	1-1	1-1	0-1	1-4	0-0	0-0	0-1	3-2	0-1	4-0
Cremonese	3-1	1-2	1-1	0-1	 	1-3	0-2	2-1	0-1	0-2	2-0	1-1	0-0	0-1	1-2	0-1	0-2	3-0
Fiorentina	1-2	3-0	2-0	1-0	1-1	 	1-2	3-1	1-1	2-0	1-1	0-0	4-2	1-1	0-1	1-2	0-0	4-1
Foggia	1-0	2-3	4-1	3-1	2-0	3-3	 	1-0	2-2	0-1	2-1	2-8	1-0	1-1	1-2	0-0	1-1	5-0
Genoa	1-0	0-2	1-3	2-2	2-0	3-2	0-2	 	1-2	2-1	1-0	0-0	3-4	2-0	1-1	0-0	1-1	1-0
Inter	2-1	0-0	1-0	0-0	0-2	1-1	1-1	2-2	 	1-3	1-0	1-1	0-0	0-0	0-0	0-0	0-0	2-0
Juventus	1-0	2-1	2-0	0-0	2-0	1-0	4-1	3-0	2-1	 	1-1	1-1	3-1	1-0	2-1	0-0	1-0	2-0
Lazio	1-1	1-1	3-1	2-1	3-2	1-1	5-2	1-1	0-1	1-1	 	1-1	3-3	1-1	1-1	1-2	2-1	2-0
Milan	4-1	3-1	2-0	1-0	3-1	1-1	3-1	1-1	1-0	1-1	2-0	 	5-0	2-0	4-1	5-1	2-0	4-0
Napoli	5-1	1-0	1-0	4-0	3-0	1-0	3-3	1-0	1-1	0-1	3-0	1-1	 	2-2	3-2	2-1	0-1	3-1
Parma	2-0	0-0	1-0	1-1	1-1	1-1	2-0	2-0	1-1	0-0	1-0	1-3	2-1	 	3-1	2-1	0-0	1-1
Roma	1-0	1-1	2-0	0-0	3-0	1-3	1-1	0-0	0-1	1-1	1-1	1-1	1-1	1-0	 	2-0	1-0	1-0
Sampdoria	4-0	0-2	1-1	1-1	2-2	2-0	1-1	2-2	4-0	1-0	1-0	0-2	1-1	2-0	1-1	 	0-0	2-0
Torino	5-2	1-1	1-0	1-0	2-0	2-0	3-1	4-0	0-0	2-0	0-1	2-2	0-0	0-0	1-1	1-1	 	0-0
Verona	1-0	1-3	2-1	2-0	2-2	2-3	1-0	2-1	1-0	3-3	0-2	0-1	0-1	1-0	0-1	0-0	1-2	 
